日期,开始时间,结束时间,耗时（h）,机台,事件类型,事件描述,Root cause ,解决方法,更换配件,维修费用（元）,当前状态,设备处理人,工艺处理人,备注
2023-01-02,20:00:00,22:00:00,,ICP,PM,掉片,RF Time到PM时间,开腔手动取出后PM,/,/,Close,夏小冰,夏小冰,"RF Time=21.03hrs Backside He flow=5.18sccm
Leak test=0.79 mTorr/Min"
2023-01-05,23:30:00,23:40:00,,RS55,Trouble shooting,Stage无法Up/Down,,重启设备,/,/,Close,夏小冰,/,
2023-01-05,23:40:00,01:50:00,,ICP,PM,掉片,"Wafer背面脏污







",开腔手动取出后PM,/,/,Close,夏小冰,夏小冰,"RF Time=8.57hrs Backside He flow=5.07sccm
Leak test=0.63 mTorr/Min"
2023-01-10,08:15:00,08:30:00,,Asher,Trouble shooting,手臂在传回Run完的Wafer进Cassette时卡死,Wafer位置偏移，导致无法顺利传回cassette,手动复位手臂并取出wafer后Home手臂,/,/,Close,夏小冰,/,
2023-01-11,06:00:00,06:10:00,,Release,Trouble shooting,酒精液位偏低,酒精消耗到达周期,更换酒精,/,/,Close,王玉亮,王玉亮,
2023-02-04,09:00:00,10:30:00,,ICP,Trouble shooting,PM1掉片,"Wafer异常导致Backside He flow高







",开腔手动取出后PM,/,/,Close,夏小冰,夏小冰,"RF Time=1.3hrs Backside He flow=5.19sccm
Leak test=0.63 mTorr/Min"
2023-02-04,18:00:00,19:50:00,,ICP,Trouble shooting,PM1掉片,腔内环境异常,开腔手动取出后PM,/,/,Close,夏小冰,,"RF Time=3.93hrs Backside He flow=5.13sccm
Leak test= mTorr/Min"
2023-02-08,14:20:00,15:00:00,,PVD,Trouble shooting,HSE reading状态报警：coil RF generntor Over temp,电源控制程序异常,检查风扇，重启bias RF ，ICP RF,/,/,Close,陈杨,陈杨,
2023-02-11,1900-01-20 20:00:00,"12日
9：00",,echo,Trouble shooting,手臂卡死，wafer在stage无法传出,软件异常,开腔手动取出重启软件后恢复,/,/,Close,陈扬/吴雨萌,陈扬/吴雨萌,
2023-02-11,1900-01-10 10:00:00,1900-01-20 20:00:00,,E-Gun,PM,冷泵再生异常，中断，无法进行,CDA压力低,增加CDA流量开大阀门,/,/,Close,陈扬/毛锐/吴雨萌,陈扬/吴雨萌,后期可在机台内部表头查看CDA压力
2023-02-19,08:30:00,08:40:00,,Asher,Trouble shooting,Could not load cassette:Load port took long to finish action,通讯异常,重启设备,/,/,Close,夏小冰,/,
2023-02-20,23:50:00,11:00:00,,AFM,Trouble shooting,量测异常，数据不准,重启软件后模式选错,更换量测模式，更换探针，校准机台,探针,/,Close,陈杨/聂敦韦,/,后期会编写SOP
2023-02-23,16：30,17：30,,ICP,Trouble shooting,软件闪退，导致BL mapping信号中断,,,,,Close,,,
2023-02-24,7：30,"25日
01:10",,PECVD,工艺开发,U%超标，map为中间薄边缘厚,,季保,,,Close,毛锐/陈杨,沈启航,PM后monitor数据OK
2023-02-25,01:30:00,,,PECVD,Trouble shooting,AL 扫码枪异常，无反应,,,,,Close,,,
2023-02-28,07:30:00,07:40:00,00:10:00,Lift-off,Trouble shooting,run货时温度异常,循环时温度会低于65度。,alarm消除后恢复，重新match设备 跑货温度。,,,Close,陈梦尧/夏玉柱,,
2023-02-27,7;30,"28日
14：00",,WET,Trouble shooting,手臂卡死,手臂轴承损坏,跟换，重新校准,轴承,已买备件,Close,夏玉柱,,
2023-03-01,20:00:00,21:00:00,01:00:00,打标机,Trouble shooting,手臂卡死,操作失误,重启软件使用软件手臂初始化,/,/,Close,陈杨,,
2023-03-02,20：00,"2023/3/3
10：00",1900-01-12 00:00:00,台阶仪,Trouble shooting,载台轴承（X轴）卡死,,"临时处置：手动拨动马达重启；
厂商建议：初步怀疑马达看，先持续观察，待故障频率高后检查，容易确认故障原因。厂商有demo机有可替换马达。",,,Close,聂敦伟,,
2023-03-04,16:50:00,17：:00,,台阶仪,Trouble shooting,wafer在aligner卡住，报警“puck lost vacuum”,,点击retry后动作，可正常测量,,,Close,沈启航,,
2023-03-04,17:20:00,,,台阶仪,Trouble shooting,量测完取wafer时报“Motion error:radial axis”,,initialize handler,,,Close,夏小冰,,
2023-03-04,02:00:00,02:10:00,,WET,Trouble shooting,alarm:LD# CST data error,cassette 使用时间太长，导致透光，侦测异常,"手动从LD口取出cassette,消除alarm,删除排程记录，重新自动扫码run ok.  ",,,Close,张林,,
2023-03-05,00:49:00,00:55:00,,WET,Trouble shooting,去胶机台alarm:Pusher2-1 CST data is error,侦测异常,初始化ok,,,Close,夏玉柱,,cassette 使用时长，透光有变。同一sensor down机多会更换
2023-03-06,23:00:00,,,E-Gun,PM,冷泵再生异常，中断，无法进行,CDA压力低,断电重启后再生恢复,,,Close,毛锐,,
2023-03-08,00:10:00,00:40:00,,ICP,Trouble shooting,报警Aligner could not align wafer:Error during calculation,,打开TM并用无尘布清洁,,,Close,夏小冰,,
2023-03-08,,11:00:00,0.5,Lift-off,Trouble shooting,Run货中操作面板上对应wafer显示消失，wafer在tank内未取出,未发现异常，后期继续观察跟踪。怀疑信号问题,手动拿走wafer，重新HOME 整机。OK.,,,Close,夏玉柱,,
2023-03-08,,16:00:00,3,Release,Trouble shooting,HF废气处理控制器漏气,气管型号错误,重新返工，所有气管,,,Close,夏玉柱,,
2023-03-07,08:00:00,"2023/3/8
20:00:00",,PVD,PM,PVD Mo chamber PM,靶材使用到达50%,常规PM,,,Close,毛锐/陈杨,聂敦韦,
2023-03-08,10:00:00,,,PVD,PM,PVD Al Chamber Target更换,靶材使用完,常规PM,,,Close,毛锐/陈杨,聂敦韦,
2023-03-10,,,,WET,Trouble shooting,Unload报警:bar low voltage abnormal,,,,,Close,夏玉柱,,报警无法消除，run货正常。此alarm 忽略，使用是正常的，不影响跑货。后期alarm多再考虑更换
2023-03-10,,,,Release,PM,无水乙醇补充,,常规PM,,,Close,陈梦尧,,
2023-03-10,,,,WET,Trouble shooting,TANK#10报警：process tank UPW supply flow is out of range,,,,,Close,,,"从停机结束后复机run货开始，几乎每天会出现报警，可以
手动消除，run货正常"
2023-03-09,,,,Particle,Trouble shooting,无法开始run货,service---Module Mode---Equipment status被切换到operator,手动切回Job,,,Close,夏小冰,,
2023-03-12,,,,PVD,Trouble shooting,dry pump底部地面有渗出积液,泵组保养更换时遗留,擦干后观察跟进,,,Close,毛锐,,
2023-03-12,19:15:00,19:20:00,,椭偏仪,Trouble shooting,"椭偏仪报警""wafer are notcorrectly occupied""",椭偏仪mapping时未检知出待测wafer,检查cassette中wafer状态，并重新放置测量,,,Close,沈启航,,
2023-03-12,15:10:00,15:40:00,,ICP,PM,Aligner could not wafer，Error during calculation;,Wafer检测失败,TM开腔，清洁Aligner,,,Close,王玉亮,,
2023-03-14,05:00:00,3.15 11;00,,WET,Trouble shooting,"Tank#11(DRY),Process tank Roller motion is time-out",电磁阀内电路损坏,更换电路板，复机正常,,,Close,夏玉柱,,
2023-03-14,,,,WET,Trouble shooting,SSW设备Unload Pusher2-1 CST data is error,,初始化,,,Close,夏小冰,,
2023-03-15,03:00:00,04:30:00,,ICP,PM,掉片,消除endpoint抓不到的alarm时选择错误致wafer掉片,开腔手动取出后PM,,,Close,陈梦尧,,
2023-03-16,16：:00,,,Trimming,Trouble shooting,Run薄片中破片,,开腔清理碎片,,,Close,张林,,
2023-03-18,09:30:00,11:30:00,,ICP,PM,RF time到PM时间,,常规PM,,,Close,王玉亮/夏小冰,,"RF Time=29hrs Backside He flow=5.3sccm
Leak test= 0.8mTorr/Min"
2023-03-19,17:00:00,18:20:00,,AFM,Trouble shooting,软件卡死重启软件,量测异常,更换量测模式，校准参数,,,Close,陈杨,,
2023-03-19,15；00,16:00:00,,椭偏仪,Trouble shooting,EAP无法自动RUN货机台报警,EAP与机台发生bug,重启软件，EAP网线插拔,,,Close,陈杨,,
2023-03-20,23:30:00,3.21 1:30,,PVD,Trouble shooting,AlN腔run货中Wafer滑出stage,怀疑为dummy wafer本身或偶发性问题。传片测试无异常,开腔手动取出,,,Close,沈启航/夏小冰/陈杨,,
2023-03-21,17:00:00,20:00:00,,PVD,Trouble shooting,"AlN腔跑condition时报警，报警信息：Fault=Gas 1 flow Tol.
Ar流量异常突然降低",屏蔽圈没安装到位。产生电磁干扰，导致MFC信号接收异常，发生Ar流量突然飙升或降低,重新安装target unit,,,Close,陈杨,,
2023-03-22,13:30:00,14:10:00,,Trimming,Trouble shooting,薄片在laod腔破片，挡住红光无法升降,贴片问题发生破片,laod腔破真空取出破片,,,Close,陈杨,,
2023-03-24,,,,WET,Trouble shooting,ACW输水管漏水,,,,,Close,夏玉柱,,
2023-03-27,17:30:00,17:45:00,,RS55,Trouble shooting,手臂持续异常震动,,重启设备,,,Close,夏小冰,,
2023-03-28,08:30:00,09:00:00,0.5,椭偏仪,Trouble shooting,手臂卡死无法动作,"机台运作过程中，怀疑有人移动cassteet，导致作业中断
","1）需要手动将Wafer放回到cassteet原来位置
2）将软件关掉进行硬件初始化
",,,Close,聂敦伟\石正强,,
2023-03-30,03:30:00,,,E-Gun,PM,冷泵再生异常，中断，无法进行,CDA压力低,,,,Close,陈杨,,
2023-03-30,03:50:00,04:30:00,,AFM,Trouble shooting,"操作软件频繁性卡死（重启软件3次），后续重启软件时，stageX,Y轴无法初始化，软件无法正常开启",怀疑为操作软件bug？,整机断电重启，暂时恢复,,,Close,陈杨,,
2023-03-31,01:25:00,01:40:00,,WET,Trouble shooting,unload CST data error,,初始化,,,Close,张林,,
2023-04-01,09:00:00,09:20:00,,echo,Trouble shooting,手臂卡死,机台偶尔发生此情况，软件bug,重启软件,,,Close,陈杨,,
2023-04-01,12:20:00,12:50:00,,PVD,Trouble shooting,AlN腔Shutter步骤时报警，报警信息：Fault=Gas 2 flow Tol.氮气流量未能按照recipe要求时间关闭，超时造成报警,怀疑是MFC信号接收异常，,临时措施：把屏蔽圈上方盖板之前未安装螺丝补齐，暂时继续run货,,,Close,陈杨,,后续如继续发生此类报警，可考虑给MFC包裹锡纸
2023-04-05,00:40:00,00:50:00,,椭偏仪,Trouble shooting,手臂取片后卡死无法动作,,消除报警，重新测试ok,,,Close,沈启航,,
2023-04-05,03:30:00,03:35:00,,椭偏仪,Trouble shooting,"椭偏仪报警""wafer are notcorrectly occupied""",椭偏仪mapping时未检知出待测wafer,检查cassette中wafer状态，并重新放置测量,,,Close,沈启航,,
2023-04-05,21:50:00,22:00:00,,PVD,Trouble shooting,在VCE A load wafer时wafer突出,OP放置cassette时用力过猛导致wafer突出,确认wafer状态后手动强制打开door,,,Close,沈启航,,给OP宣导放置cassette时轻拿轻放
2023-04-07,07:12:00,07:20:00,,PECVD,Trouble shooting,BL run货至slot4取片时报警手臂未检测到wafer,wafer在cassette里被卡住,vent后活动一下wafer，重新下job,,,Close,沈启航,,
2023-04-08,00:58:00,01:10:00,,Trimming,Trouble shooting,机台报警load door 未关闭,OP在操作过程门未关好就点击load,消除报警，重新下job,,,Close,沈启航,,给OP宣导Trimming做货时门关闭好后在点load，当load灯变绿后再点start
2023-04-13,06:35:00,06:55:00,,Asher,Trouble shooting,AL报警：Load port status error,门未关好状态点Load,手动初始化并Home,,,Close,夏小冰,,
2023-04-12,22:00:00,,,PECVD,Trouble shooting,复机漏率不过,加热盘铜杆脱落,更换加热盘,,,Close,陈杨\夏小冰,,
2023-04-12,22:00:00,22:30:00,,E-Gun,Trouble shooting,报警装置异常作业,金振片寿命不够run完整个recipe,更换金振片补镀,,,Close,陈杨,,
2023-04-13,19:30:00,19:40:00,,WET,Trouble shooting,手臂卡死,,手动取出cassette后初始化手臂,,,Close,沈启航,,
2023-04-14,00:20:00,00:30:00,,AFM,Trouble shooting,stage无法移动,软件bug,软件重启恢复,,,Close,陈杨,,
2023-04-16,06:30:00,11:30:00,,ICP,Trouble shooting,PM2掉片,背He流量异常,开腔手动取出后PM,,,Close,张林/夏玉柱/夏小冰,,
2023-04-16,16:40:00,16:50:00,,Asher,Trouble shooting,AL报警：Load port status error,门未关好状态点Load,手动断电AL后Home,,,Close,夏玉柱/夏小冰,,
2023-04-18,07:00:00,07:10:00,,Trimming,Trouble shooting,wafer传片失败报警,薄片贴片没对齐，导致热解胶突出粘连cass，取片失败,unload旋转wafer位置并初始化后重新下job,,,Close,毛锐/陈杨,,
2023-04-18,22:00:00,23:00:00,,Trimming,Trouble shooting,handler-general handler error,,手动破掉handler真空取片,,,Close,石正强,,
2023-04-19,00:30:00,01:00:00,,Trimming,Trouble shooting,"helium backside cooling failure,",,将报警恢复，片子自动传出后再RUM货正常,,,Close,石正强,,
2023-04-21,09:00:00,11:30:00,,ICP,PM,U1刻蚀速率异常,,常规PM,,,Close,陈健/陈梦尧,,
2023-04-22,08:20:00,09:20:00,,ECHO,Trouble shooting,建立recipe时，软件卡死，wafer无法取出，软件无法abort,软件bug,切换到Application Launther页面，stop all后，star tall 恢复,,,Close,沈启航,,
2023-04-25,00:30:00,00:40:00,,WET,Trouble shooting,ACW设备Run货放入CST时报警 Load Z-Axis motion inhibit when cassette on load#2,,初始化,,,Close,夏小冰,,
2023-04-25,09:00:00,11:00:00,,ICP,PM,RF time到PM时间,,常规PM,,,Close,陈健/陈梦尧,,
2023-04-30,04:40:00,05:00:00,,Asher,Trouble shooting,抽真空异常,检查后发现silt door O-ring凸出,将silt door O-ring按平后恢复,,,Close,陈梦尧,,
2023-04-30,21:00:00,22:00:00,,ICP,PM,掉片,腔体环境异常,常规PM,,,Close,陈健/陈梦尧,,
2023-05-08,08:40:00,10:20:00,,ICP,PM,RF time到PM时间,,常规PM,,,Close,周子旋/陈梦尧,,
2023-05-13,12:30:00,,,WET,Trouble shooting,IPA CDU无法补液,泵堵住,手动排气,/,/,Close,夏小冰,,
2023-05-13,18:00:00,,,ICP,Trouble shooting,RUN货中Dechuck时报警压力不足,Ar无流量,retry dechuck,,,Close,夏小冰,,
2023-05-14,11:30:00,,,Asher,Trouble shooting,抽真空异常,slit valve O-Ring老化掉出凹槽,对slit valve PM,,,Close,夏小冰,,
2023-05-15,16:50:00,,,Asher,Trouble shooting,制程中压力异常,氧气流量异常,Restart,,,Close,夏小冰,,
2023-05-16,10:00:00,16:00:00,,WET,Trouble shooting,LOAD/UNLOAD alarm,侦测异常,重新匹配sensor测试正常 RLS,sensor,,Close,夏玉柱,,
2023-05-18,4;30,5;00,,ECHO,Trouble shooting,修改recipe时，软件卡死，wafer无法取出，软件无法abort,软件bug,重启电脑后恢复,,,Close,陈杨,,
2023-05-18,6;20,,,Trimming,Trouble shooting,工艺时腔体压力明显升高，背氦异常,,更换气管,B/E He管,,Close,陈杨,,
2023-05-18,21:00:00,23:00:00,,PVD,Trouble shooting,AlN腔报警 gas 1fiow tol warning 3次,怀疑是MFC信号接收被干扰,临时措施：把屏蔽圈上方盖板之前螺丝补齐拧紧，暂时继续run货未再次发生,,,Close,陈杨,,
2023-05-20,21:00:00,21:30:00,,E-Gun,Trouble shooting,run货时报警,晶振片未及时更换,后期请及时更换金振片,,,Close,陈杨,,
2023-05-21,01:10:00,01:15:00,,trimming,Trouble shooting,run货时报警,IBE文件名称错误,给制作IBE人员宣导命名规则,,,Close,陈杨,,
2023-05-21,13:30:00,14:00:00,,ICP-PM3,Trouble shooting,"Turbo alarm,转速到40%左右自动启停",turbo 本体轴承异常,更换turbo设备恢复,turbo,,Close,张林,,
2023-05-22,02:30:00,02:40:00,,ICP,Trouble shooting,PM2报警reflected power,RF ICP Tune位置在104%无法自动匹配,手动match,,,Close,夏小冰,,
2023-05-21,21;26,21;46,,CVD,Trouble shooting,PN2流量低报警,厂务端未及时更换气罐,通知厂务更换气罐后恢复,,,Close,陈杨,,
2023-05-22,03:10:00,,,PVD,Trouble shooting,ALScN制程中一直warning：pump to base failed,怀疑抽速异常或软件异常，待澄清,,,,Close,毛锐,,
2023-05-24,4;30,5;30,,THK,Trouble shooting,测量中止，无法继续和手动操作,MES PM任务冲突导致THK软件卡死,手动取出wafer并重启软件，手动继续测量,,,Close,毛锐,,
2023-05-24,23:30:00,23:40:00,,ECHO,Trouble shooting,准备开始量测时手臂报警,,重启软件,,,Close,夏小冰,,
2023-05-25,01:00:00,01:05:00,,PRF,Trouble shooting,自动量测时手臂无法下降,,切换local模式传片恢复,,,Close,陈健,,
2023-05-27,15；17,16；17,,Echo,Trouble shooting,"Stage 变成红色无法操作,报警信息：laser base temperture has drifted out，",产品过多，激光散热异常,停止30min后，点击机台自检复机,,,Close,陈杨,,
2023-05-27,17;20,16;30,,Particle,Trouble shooting,MES显示running hold，双数片，数据未上传至EAP,软件异常,机台重启,,,Close,陈杨,,
2023-05-28,16:50:00,17:00:00,,ETC scrubber,Trouble shooting,scrubber 酸排水管漏水,二次配管路接头胶水失效，脱落而漏水,重新更换水管接头,,,Close,张林,,
2023-05-29,08:40:00,,,PECVD,Trouble shooting,掉片,Ping异常,更换ping并清理碎片,,,Close,毛锐,,
2023-05-29,09:30:00,,,PRF,Trouble shooting,探针轴承异常,,,,,Close,石正强,,
2023-05-31,17:10:00,,,ICP,Trouble shooting,"ICP-V3SD920N Recipe ""Endpoint was not found""","掺Sc(20%),Endpoint抓取不稳定，峰谷的检测不明显；","1.Delay时间滞后30″，现：9′30″；
2.取消峰谷检测线（绿线）；
3.刻蚀时间增加20″。更改后：12′30″；",,,Close,王玉亮,,
2023-06-01,10:30:00,13:00:00,3,ICP,PM,RF Time到PM时间,,常规PM,,,Close,陈健/陈梦尧,,
2023-06-02,17:00:00,19:00:00,2,ICP,PM,掉片,,常规PM,,,Close,陈健/陈梦尧,,
2023-06-04,05；55,,,PVD,Trouble shooting,传片时显示TM腔真空度低报警,TM腔真空计异常，真空度最高显示1e-3,,,,Waiting,陈杨,,
2023-06-05,19;40,2023-06-06 19:40:00,,AACW01,Trouble shooting,手臂卡死,轴承损坏,更换,轴承3,,Close,夏玉柱,,
2023-06-06,01:30:00,,,EGN,Trouble shooting,电子枪emission电流,灯丝烧断,"1.换灯丝，继续报警，待排查
2.灯丝安装方向错误，重新安装后OK",,,Close,张林/夏小冰,,
2023-06-06,02:40:00,,,pvd,Trouble shooting,Robot command failed,Wafer在CoolStation破片,"手动开腔清理碎片，
后续制程出现同样问题，待排查",,,Close,张林/夏小冰,,
2023-06-06,10;00,11:00:00,,Lift-off,Trouble shooting,WAFER 破片,wafer有伤痕,手拿走所有wafer。重新HOME 整机。OK，检查产品其余无伤痕.,,,Close,夏玉柱,,
2023-06-07,13:30:00,17:40:00,,ICP ,PM,掉片,Wafer偏移,常规PM,,,Close,王玉亮/罗臣成,,
