,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均值项:耗时(h),列标签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行标签,AACW01,AAFM01,AASH01,AASH02,ACLN01,ACVD01,ACVD01-B,ACVD01-C,ADET01,AEGN01,AICP01,AICP01-A,AICP01-B,AICP01-C,AICP01-D,ALIF01,AMTH01,APAC01,APRF01,APVD01,APVD01-A,APVD01-B,APVD01-C,APVD01-D,APVD01-E,AREL01,ASCR01,ASCR02,ASCR03,ASEM01,ASSW01,ASTR01,ATAP01,ATHK01,ATRM01,ATRM01-B,ATRM02,ATRM02-A,ATRM02-B,AWBG01,AWFM01,AXRD01,OM,总计
<01/01/2024,,,,,,,,,,,0,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,0
1月,3.67,1.2900000000000003,7.519999999999999,,,2.191666666666667,1.2,1.41375,,1.0029999999999997,3.0116666666666667,1.363,,14.481250000000001,15.00181818181818,0.7520000000000001,0.265,,0.17333333333333334,5.18,0.63,30.61,5.628333333333333,2.15,,1.11,,,,0.37,2.7075,,,0.8483333333333333,2.155,,2.406,2.7199999999999998,0.754,0.35,,1.8,,4.337189542483664
2月,0.5,0.47777777777777775,,,,,,3.135,,1.6499999999999997,,0.89,,0.17,0.13,0.17,,,,,,,4.642857142857143,5.07,,,,,,,,,,,3.79,,,5.49,,1,,,,2.100612244897959
3月,1,,0.36000000000000004,,,0.27,,0.33,,1.4525,0.22800000000000004,1.71,0.27,0.5,0.14250000000000002,0.5071428571428571,0.67,0.23,2.2066666666666666,,,0.16,0.94625,0.56,,4.25,,,,,0.54,,,0.49,,,1.45,1.9900000000000004,,0.685,,,,0.9915584415584416
4月,1.67,2.0166666666666666,8.328333333333333,,,,0.08,0.5833333333333334,,1.2009999999999998,0.185,2.0380000000000003,,4.945,1.3866666666666667,0.63,0.25,0.33,1.03,5.78,,0.125,0,0.11666666666666665,,0.12,0.08,0.15,,,3.515,,,,0.605,,,3.9225000000000003,0.285,0.27,0.545,,,1.6462365591397843
5月,0.45285714285714285,0.26999999999999996,0.365,,,0.7933333333333333,7.82,0.15000000000000002,,1.4810526315789472,3.138333333333333,2.17,,4.17,2.62,1.8242857142857143,0.225,,1.9333333333333333,0.8,,,2.17,0.21400000000000002,,3.25,,,,,5.396,,2.22,0.4,0,,0.6,0.05222222222222222,0,,,,,1.4333636363636373
6月,3.5083333333333333,0.7599999999999999,,,,0.15666666666666668,0.10600000000000001,6.0075,,1.156,0.246,1.5599999999999998,,5.28,0.9560000000000001,1.1478571428571431,1.046,0.55,0.8566666666666666,0.24,,0,1.95,0,,0.17,0.1,0.08,,0,1.385,,,0.2233333333333333,17.195,,0.8300000000000001,8.38,5.2175,2.12,0.5,,,2.0895333333333324
7月,0.6733333333333333,0.259,0.6699999999999999,0.17142857142857143,,0.6216666666666667,2.695,1.626,1,1.5363636363636362,6.44,3.3399999999999994,,2.8,5.498333333333332,0.6676190476190476,1.335,,1.87,2.1457142857142855,,4.4,4.65,3.55,,5.535714285714286,0.08,,,,3.144,,,0.2845454545454546,0.2,,0.515,0.42,8.38,0,,,,1.9682658959537571
8月,0.5,0.21200000000000002,1.32,0.34,2,0.3314285714285714,0.4566666666666667,3.229999999999999,,1.3358333333333332,0.837,1.4785714285714284,,0.5014285714285714,1.2126666666666668,2.0991176470588235,0.23,,1.1033333333333333,20.555,,0,2.725,0,,0.135,4.16,,,,5.669999999999999,0,0.5,0.4566666666666666,0.038,4.875,0.355,9.33,0,0.3333333333333333,0,,,2.0900512820512813
9月,1.31,0.20500000000000002,1.0350000000000001,0.22428571428571428,1,0.35,0.09999999999999999,0.6900000000000001,,0.7903999999999999,2.21,2.81,,0.25,4.0175,4.219411764705883,0.9899999999999999,,0.4471428571428572,0.21,1,,2.95,0,,1.06,,,,,2.614,1.18,3.04,,0.3333333333333333,,0.156,5.965,0,0.8559999999999999,0.74,,,1.6387234042553191
10月,1.1314285714285715,0.4588888888888889,1.615,8.85,,,0.16285714285714287,7,,2.2883333333333336,0.25,1.606153846153846,0.33,2.1375,2.2824999999999998,1.5171428571428567,0.4466666666666666,,4.43,0.6799999999999999,,0,2.12,0.3215384615384615,,1.165,0.17,0,0.04,,1.435,,1.6125,,17.42,,0.8099999999999999,0,1.401,2.41,,,,2.0553529411764706
11月,2.49,0.186,4.312222222222222,0.17,,0.035,1.1916666666666667,2.6957142857142857,1,2.279333333333333,5.132857142857143,2.947777777777778,0.17,2.395,1.915,0.47347826086956524,10.835,,0.895,4.185,,0.8566666666666666,8.29,0,0.55,4.6866666666666665,0.25,,,,2.6399999999999997,0,0.3433333333333333,0.22,0.3983333333333334,,0.6,0,1.2314285714285713,2.1300000000000003,,,12,2.1410439560439563
12月,,1.2566666666666668,3.5,0.33,,,,0,,0.7088888888888889,0.17,2.1200000000000006,3.19,0.335,,0.73,,,0.085,0.05666666666666667,,,0,0.335,1,0.33,,,,,0.83,,,,,,0.45,0,0,,,,,0.9990625000000002
总计,1.7047368421052636,0.5752307692307691,3.7209433962264136,3.2797058823529412,1.5,0.6961111111111111,0.9796774193548389,2.458421052631579,1,1.4006796116504858,2.3194736842105255,2.1524999999999994,1.4300000000000002,4.059574468085107,4.033030303030305,1.4527173913043483,1.636818181818182,0.37000000000000005,1.3799999999999997,5.140857142857142,0.815,6.226249999999999,3.4022641509433966,0.6681632653061225,0.775,2.549677419354839,2.483333333333334,0.07666666666666666,0.04,0.185,3.114883720930233,0.3933333333333333,1.5938461538461537,0.5097142857142856,3.084054054054054,4.875,0.8342222222222222,2.492040816326531,1.5079069767441857,1.1984,0.5116666666666666,1.8,12,2.0788355726167627
